Feature,Category1,Category2,JS_Distance
NHOHCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.20288814759817145
NHOHCount,jtvae,digress,0.09240679851567558
NOCount,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.017516947910586927
NOCount,ori,jtvae,0.24813369179127925
NOCount,ori,digress,0.0719824298460024
NOCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.252174882406713
NOCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.0709913669026159
NOCount,jtvae,digress,0.22411104868777165
FractionCSP3,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.05220038217368268
FractionCSP3,ori,jtvae,0.13714542777039707
FractionCSP3,ori,digress,0.04991234418911974
FractionCSP3,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.15689857895643056
FractionCSP3,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.08597505612768463
FractionCSP3,jtvae,digress,0.11013237360372152
qed,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.04953846805125669
qed,ori,jtvae,0.46167409428489176
qed,ori,digress,0.039493545689657704
qed,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.4708695114002569
qed,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.04691463580390922
qed,jtvae,digress,0.44682470196338786
BalabanJ,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.04474688968306824
BalabanJ,ori,jtvae,0.18892387517525094
BalabanJ,ori,digress,0.09303959732184854
BalabanJ,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.17875974989972362
BalabanJ,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.10527004089591743
BalabanJ,jtvae,digress,0.15909498731265026
NumHDonors,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.21255764856703466
NumHDonors,ori,jtvae,0.10693862354365428
NumHDonors,ori,digress,0.02467711790260813
NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.2303623992692038
NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.20486656258496022
NumHDonors,jtvae,digress,0.10599001273972428
NumHAcceptors,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.03835392238066514
NumHAcceptors,ori,jtvae,0.20362619652796116
NumHAcceptors,ori,digress,0.08191643579056955
NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.1819752014597692
NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.10587678293989394
NumHAcceptors,jtvae,digress,0.2151297958644269
MolLogP,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.03365013124915313
MolLogP,ori,jtvae,0.30092249407456856
MolLogP,ori,digress,0.038993894555393926
MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.3206868191066295
MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.05734007745182551
MolLogP,jtvae,digress,0.278223092470978
