mol_index,smiles,edges,target_swaps_formula,target_swaps,actual_swaps
11776,O=C(NCC1OCCCN1S(=O)(=O)c1ccc(F)cc1)C(=O)NC1CCCC1,61,ceil(0.5 * num_edges),31,31
11777,COc1ccc(S(=O)(=O)N/N=C/c2cc([N+](=O)[O-])ccc2O)cc1,48,ceil(0.5 * num_edges),24,24
11778,CCOC(=O)c1cnc(CCc2ccccc2)nc1NCCCNC(=S)NCCC(=O)O,71,ceil(0.5 * num_edges),36,36
11779,CSCCCCCCCCC(NO)C(=O)O,39,ceil(0.5 * num_edges),20,20
11780,COc1cc(/C=C/C(=O)Nc2c(/C=C\c3cc(OC)c(OC)c(OC)c3)ccc(OC)c2O)ccc1N,81,ceil(0.5 * num_edges),41,41
11781,CN(O)C(=O)/C=C/c1cccc(-c2ccccc2)c1,43,ceil(0.5 * num_edges),22,22
11782,CC(Nc1ccc(Cl)cc1)C(=O)NN,30,ceil(0.5 * num_edges),15,15
11783,CC(=O)n1c2ccccc2c2cc(-c3ccc([N+](=O)[O-])cc3)nnc21,51,ceil(0.5 * num_edges),26,26
11784,CS(=O)(=O)Nc1nnc(SCC(=O)N(c2ccccc2)c2ccccc2)s1,56,ceil(0.5 * num_edges),28,28
11785,Nc1ncc(-c2ccc(S(=O)(=O)NC3CC3)c(Cl)c2)cc1-c1ccc2c(c1)CCNC2=O,69,ceil(0.5 * num_edges),35,35
11786,CN1CCN(c2nccc3c2ccc2ccccc23)CC1,50,ceil(0.5 * num_edges),25,25
11787,COc1ccccc1CCC(=O)N1CCC[C@H](c2[nH]ccc2C(N)=O)C1,58,ceil(0.5 * num_edges),29,29
11788,Cc1cccnc1C[C@H](C)NS(=O)(=O)C(C)C,41,ceil(0.5 * num_edges),21,21
11789,CCc1ccc(OCCCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1,77,ceil(0.5 * num_edges),39,39
11790,CCC(CC)=NNc1ncnc2sc3c(c12)CCCC3,47,ceil(0.5 * num_edges),24,24
11791,Cc1cccc(Cn2c(Cc3ccccc3)nc3ccccc32)c1,57,ceil(0.5 * num_edges),29,29
11792,CCOc1ccc(NC(=O)CSC2=Nc3ccccc3C3=NC(CC(=O)NCc4ccco4)C(=O)N23)cc1,80,ceil(0.5 * num_edges),40,40
11793,CCCCc1cc(-c2ccccc2)cc(CCCC)[n+]1-c1ncc[nH]1,62,ceil(0.5 * num_edges),31,31
11794,C[C@@H]1[C@@H](N/C(=N\O)c2ccccc2-c2ccccc2)C[C@H]2C[C@@H]1C2(C)C,60,ceil(0.5 * num_edges),30,30
11795,NC(=O)Cc1ccccc1-c1ccc(F)cc1F,37,ceil(0.5 * num_edges),19,19
11796,CC(C)(O)C#Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,71,ceil(0.5 * num_edges),36,36
11797,CC1=CC[C@H]([C@](C)(O)CCC(O)C(C)(C)O)CC1,46,ceil(0.5 * num_edges),23,23
11798,N=C(O)CCC(N=C(O)C(CCCCN)N=C(O)C(N)CCCCN)C(=O)O,65,ceil(0.5 * num_edges),33,33
11799,N#CCCN(CCC(F)(F)F)C(=O)[C@H]1CCCOC1,38,ceil(0.5 * num_edges),19,19
11800,Cn1c(CCCCCCC(=O)NO)nc2ccccc21,47,ceil(0.5 * num_edges),24,24
11801,CCCC[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,64,ceil(0.5 * num_edges),32,32
11802,CC(C)(NC1=NS(=O)(=O)c2sc(Cl)cc2N1)c1ccccc1,46,ceil(0.5 * num_edges),23,23
11803,Cc1ccc(C)c(-n2c(Cc3cc(O)nc(O)n3)nnc2SCC(=O)NCc2ccco2)c1,69,ceil(0.5 * num_edges),35,35
11804,O=C(NC1CCOCC1)N1CCO[C@H](c2cc(Cl)cc(Cl)c2)C1,48,ceil(0.5 * num_edges),24,24
11805,C[n+]1cccc(N(CCCCCC2CCCCC2)c2ccccc2C#N)c1,69,ceil(0.5 * num_edges),35,35
11806,O=C(NCC(c1ccccc1)n1ccnc1)c1ccc(Cc2ccccc2)cc1,67,ceil(0.5 * num_edges),34,34
11807,N#CCC(=O)N1CCN(C=O)CC1,28,ceil(0.5 * num_edges),14,14
11808,N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc(Br)cc1,58,ceil(0.5 * num_edges),29,29
11809,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(C(=O)O)cc2)[C@H]1O,80,ceil(0.5 * num_edges),40,40
11810,N1=C(c2nnn[nH]2)NNC(c2nnn[nH]2)=N1,26,ceil(0.5 * num_edges),13,13
11811,CC(C)NCc1ccc(-c2cccc(NC(=O)c3ccc(Cl)cc3)c2)cc1,62,ceil(0.5 * num_edges),31,31
11812,CN1CCN(C(=O)c2cc(Br)c3c(c2)NC(=O)/C3=N\NC(=O)Cc2ccc3onc(N)c3c2)CC1,72,ceil(0.5 * num_edges),36,36
11813,C[C@@H](Nc1ncnc2[nH]c(-c3ccccc3OC(F)F)cc12)c1ccccc1,57,ceil(0.5 * num_edges),29,29
11814,OC(CN1CCN(c2ccc(/N=C/c3ccc4c(c3)OCO4)cc2)CC1)(Cn1cncn1)c1ccc(F)cc1F,85,ceil(0.5 * num_edges),43,43
11815,COC(=O)c1c(NC(=O)CN2CCN(Cc3ccc4c(c3)OCO4)CC2)sc(C)c1C,68,ceil(0.5 * num_edges),34,34
11816,Oc1ccc(/N=C/c2cc(F)ccc2O)cc1,35,ceil(0.5 * num_edges),18,18
11817,Cc1nnc(NC[C@@H](O)CCc2ccccc2)c(C#N)c1C,50,ceil(0.5 * num_edges),25,25
11818,Cc1cc(Br)c2c(c1)[C@@H]1CN(C)CC[C@@H]1N2,36,ceil(0.5 * num_edges),18,18
11819,O=C1CSC(c2ccco2)N1CCNc1ccnc2cc(Cl)ccc12,52,ceil(0.5 * num_edges),26,26
11820,Nc1cccc(-c2ccc(C3=NOC4(CCN(Cc5ccccc5)CC4)N3)cn2)c1,69,ceil(0.5 * num_edges),35,35
11821,CCCCCC1/C=C/C#CCCCCCCCCCC(=O)O1,58,ceil(0.5 * num_edges),29,29
11822,Cc1cc2c(N3CCN(/C(=N/C#N)Nc4cccc(Br)c4)[C@@H](C)C3)ncnc2[nH]1,61,ceil(0.5 * num_edges),31,31
11823,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(N)=O)c1ccc(F)cc1F,69,ceil(0.5 * num_edges),35,35
11824,C[C@@H](OCc1ccccc1)[C@@H](C#N)NC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccc(Br)cc1,72,ceil(0.5 * num_edges),36,36
11825,Cc1nsc(C(=O)NCc2ccccc2Cl)n1,34,ceil(0.5 * num_edges),17,17
11826,CCOC(=O)c1ccc(NC(=O)CSc2nnc(CNC(=O)c3ccc(OC)cc3)n2CC)cc1,75,ceil(0.5 * num_edges),38,38
11827,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(OC)c1OCCC(C)C,63,ceil(0.5 * num_edges),32,32
11828,CS(=O)(=O)c1ncc(N(Cc2ccccc2)Cc2ccco2)c(C(=O)Nc2cccc(C(F)(F)F)c2)n1,75,ceil(0.5 * num_edges),38,38
11829,CCO[C@@H]1OC(C(=O)N2CCOCC2)=C[C@H](C)[C@H]1CCCO,49,ceil(0.5 * num_edges),25,25
11830,O=C1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc2N1,46,ceil(0.5 * num_edges),23,23
11831,COc1ccc(/C=C/C(=O)OCC(=O)NC2CCCCCC2)cc1,56,ceil(0.5 * num_edges),28,28
11832,Cc1cnn(CCNCc2nc(C)c(C)o2)c1,40,ceil(0.5 * num_edges),20,20
11833,NS(=O)(=O)c1ccc(CCNC(=O)Cc2ccccc2)cc1,50,ceil(0.5 * num_edges),25,25
11834,CCOC(=O)CSc1nnc(-c2cccnc2)n1C,40,ceil(0.5 * num_edges),20,20
11835,CCN1C(=O)c2ccccc2C1=O,28,ceil(0.5 * num_edges),14,14
11836,O=C(O)c1cccc(C(=O)O)c1[S+]([O-])Cc1ccccc1,42,ceil(0.5 * num_edges),21,21
11837,O=C(CN1CCOCC1)Nc1ccc(N2CCN(c3ccccc3)CC2)c(F)c1,66,ceil(0.5 * num_edges),33,33
11838,Cc1ccc(C(=O)OCC(=O)c2cc(C)n(CC3CCCO3)c2C)cc1,60,ceil(0.5 * num_edges),30,30
11839,CN(C)C(=O)c1ccc2c(n1)C(=O)C1=C(NCCS1(=O)=O)C2=O,47,ceil(0.5 * num_edges),24,24
11840,CCc1n[nH]c2c1C(=O)c1c(NC(N)=O)cccc1-2,39,ceil(0.5 * num_edges),20,20
11841,CN1CCc2cc(O)c(O)cc2C1Cc1ccc(-c2ccccc2)cc1,61,ceil(0.5 * num_edges),31,31
11842,Cc1ccc(-c2nc(-c3cccnc3)sc2CC(=O)O)cc1,47,ceil(0.5 * num_edges),24,24
11843,O=S(=O)(F)/C=C/C=C/c1ccccc1,30,ceil(0.5 * num_edges),15,15
11844,Cc1ccc(-c2nc3ccccc3c(=O)n2CCCn2ccnc2)cc1,59,ceil(0.5 * num_edges),30,30
11845,O=C(OC[C@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,80,ceil(0.5 * num_edges),40,40
11846,C=CCc1c(C)c(C#N)c2nc3ccccc3n2c1N1CCCCC1,59,ceil(0.5 * num_edges),30,30
11847,NNC(=O)c1ccc(-n2nnc(C(=O)NN)c2C(=O)NN)cc1,45,ceil(0.5 * num_edges),23,23
11848,CC(C)[C@H](N=C(NN)NN)C(=O)O,28,ceil(0.5 * num_edges),14,14
11849,COC(=O)C(NC(=O)c1ccccc1)c1ccc(OC)c(I)c1,48,ceil(0.5 * num_edges),24,24
11850,COc1ccc(C(=O)N2C[C@@H]3C[C@H](C2)Cn2c3cccc2=O)cc1OC,56,ceil(0.5 * num_edges),28,28
11851,Cc1cc(F)c2c(C)c3c(c(O)c2c1O)C(=O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H](N)[C@@H]1C3,60,ceil(0.5 * num_edges),30,30
11852,Cc1nn(CCNc2nnc(C(C)C)s2)c(C)c1C,45,ceil(0.5 * num_edges),23,23
11853,CCn1c(CN2CCN(Cc3ccc(C)cc3)C(CCO)C2)nc2ccccc21,71,ceil(0.5 * num_edges),36,36
11854,CCn1cc(C(=O)OCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N/OC)c4csc(N)n4)C3SC2)c(=O)c2cc3c(cc21)OCO3,86,ceil(0.5 * num_edges),43,43
11855,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O,65,ceil(0.5 * num_edges),33,33
11856,CC(=O)c1cccc(NC(=O)CCc2c(C)nc3c(c(C)nn3-c3ccccc3)c2C)c1,73,ceil(0.5 * num_edges),37,37
11857,COc1ccc(-c2nn3c(COc4ccc(SC)cc4)nnc3s2)cc1,54,ceil(0.5 * num_edges),27,27
11858,CCOC(=O)C1CCN(C(=S)Nc2ccc3nsnc3c2)CC1,49,ceil(0.5 * num_edges),25,25
11859,COc1cc(C2CCN(CC(N)=O)CC2)ccc1Nc1ncc2ccc(-c3ncccc3OC)n2n1,80,ceil(0.5 * num_edges),40,40
11860,CCn1c(SCC(=O)Nc2nc(C)cs2)nnc1-c1cccnc1,50,ceil(0.5 * num_edges),25,25
11861,Cc1c(Br)c(-c2nnc(S)n2Cc2ccco2)nn1C,40,ceil(0.5 * num_edges),20,20
11862,CCOC(=O)CN1C(=O)S/C(=C/c2ccc(O)c([N+](=O)[O-])c2)C1=O,45,ceil(0.5 * num_edges),23,23
11863,NCC[C@@H](NC(=O)c1ccc(-c2cccc(NC(=O)c3nncs3)c2)o1)C(=O)N1CCNCC1,71,ceil(0.5 * num_edges),36,36
11864,C[C@@H](CNS(=O)(=O)C1CC1)NCc1ccc(C(=O)N(C)C)o1,50,ceil(0.5 * num_edges),25,25
11865,O=C1[C@H]2CC[C@@H]3/C(=N\OC[C@@H](O)COCc4ccco4)C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]2C(=O)N1C1CCCCC1,74,ceil(0.5 * num_edges),37,37
11866,O=C(Cc1ccc(N2CCOCC2=O)cc1)Nc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,65,ceil(0.5 * num_edges),33,33
11867,O=C1Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2/C1=N/Nc1ccc(C(=O)O)cc1,67,ceil(0.5 * num_edges),34,34
11868,CCCCCCCCCCCCCC=CC(O)C(N)COP(=O)(O)O,64,ceil(0.5 * num_edges),32,32
11869,CC(CCc1ccccn1)C(=O)C(C)CCc1ccccn1,54,ceil(0.5 * num_edges),27,27
11870,Cc1ccc2c(c1)c(=O)c(C(=O)c1ccc3c(c1)OCO3)cn2Cc1cccc(F)c1,65,ceil(0.5 * num_edges),33,33
11871,Cc1ccc(C)c(OCC(=O)N2CCCN(C)CC2)c1,49,ceil(0.5 * num_edges),25,25
11872,Cc1c(C(F)(F)F)n[nH]c1C(=O)N(C)Cc1ccc(Br)cc1F,41,ceil(0.5 * num_edges),21,21
