Model, tipo, train, test, V, VU, VUN, KL, KL36, KL_novel, NvsPC, VUNvsPC
    \textit{Model} & \textit{Parameter Count} & \textit{Seconds per 10k molecules} & \textit{Molecules per second (\%)} \\ \hline
    JTVAE & 5.3M & - & - \\ %\hline
    DiGress & 4.6M & 13360 & 0.75 \\ %\hline
    GDSS & 0.074M & 1315 & 7.6 \\ %\hline
    GruM & 8.2M & 8806 & 1.14 \\ %\hline
    DeFoG & 4.6M & 25200 & 0.40 \\ %\hline
    CoCoGraph (BASE) & 0.471M+0.063M & 8400 & 1.19 \\ %\hline
    CoCoGraph (FPS) & 3.1M+1.3M & 10200 & 0.98 \\ %\hline
    CoCoGraph (FPS) notime & 3.1M & 8640 & 1.16 \\ %\hline
    CoCoGraph (FPS) unseeded & 3.1M+1.3M & 9360 & 1.07 \\ \hline
    \end{tabular}
    \end{adjustbox}
   \caption{{\bf Model comparison on efficiency of inference.} Molecules sampled for every model where a checkpoint was free. All molecules are generated on the same hardware for DiGress, GruM, GDSS and CoCoGraph models. DeFoG time is the published time in the paper.   }
    \label{tab:model_comparison_efficiency2}
\end{table}
