noise_level,tanimoto
generated,0.11818181818181818
generated,0.10975609756097561
generated,0.10948905109489052
generated,0.12121212121212122
generated,0.0880503144654088
generated,0.15492957746478872
generated,0.2018348623853211
generated,0.15384615384615385
generated,0.136986301369863
generated,0.08461538461538462
generated,0.12598425196850394
generated,0.09322033898305085
generated,0.13157894736842105
generated,0.15555555555555556
generated,0.07407407407407407
generated,0.1103448275862069
generated,0.14285714285714285
generated,0.06896551724137931
generated,0.0759493670886076
generated,0.14912280701754385
generated,0.13
generated,0.12307692307692308
generated,0.08181818181818182
generated,0.0967741935483871
generated,0.14655172413793102
generated,0.13194444444444445
generated,0.18269230769230768
generated,0.12949640287769784
generated,0.057692307692307696
generated,0.15
generated,0.1259259259259259
generated,0.3333333333333333
generated,0.05555555555555555
generated,0.09740259740259741
generated,0.12195121951219512
generated,0.13970588235294118
generated,0.13861386138613863
generated,0.11764705882352941
generated,0.30158730158730157
generated,0.10071942446043165
generated,0.10377358490566038
generated,0.25301204819277107
generated,0.12790697674418605
generated,0.1320754716981132
generated,0.1875
generated,0.13432835820895522
generated,0.15841584158415842
generated,0.08264462809917356
generated,0.09322033898305085
generated,0.11278195488721804
generated,0.16129032258064516
generated,0.1523809523809524
generated,0.10416666666666667
generated,0.08333333333333333
generated,0.08092485549132948
generated,0.13709677419354838
generated,0.19101123595505617
generated,0.08527131782945736
generated,0.14457831325301204
generated,0.15384615384615385
generated,0.09565217391304348
generated,0.15254237288135594
generated,0.16161616161616163
generated,0.12
generated,0.10416666666666667
generated,0.112
generated,0.18691588785046728
generated,0.14285714285714285
generated,0.1437908496732026
generated,0.08333333333333333
generated,0.1511627906976744
generated,0.08860759493670886
generated,0.10101010101010101
generated,0.1125
generated,0.25925925925925924
generated,0.09183673469387756
generated,0.10948905109489052
generated,0.10465116279069768
generated,0.13245033112582782
generated,0.08029197080291971
generated,0.15517241379310345
generated,0.14166666666666666
generated,0.16260162601626016
generated,0.12389380530973451
generated,0.12844036697247707
generated,0.16184971098265896
generated,0.1450381679389313
generated,0.1875
generated,0.0660377358490566
generated,0.248
generated,0.0625
generated,0.08247422680412371
generated,0.14960629921259844
generated,0.183206106870229
generated,0.15555555555555556
generated,0.11
generated,0.11009174311926606
generated,0.1568627450980392
generated,0.08633093525179857
generated,0.09278350515463918
generated,0.14285714285714285
generated,0.11666666666666667
generated,0.15517241379310345
generated,0.0891089108910891
generated,0.12030075187969924
generated,0.1262135922330097
generated,0.1402439024390244
generated,0.08333333333333333
generated,0.11224489795918367
generated,0.12121212121212122
generated,0.12403100775193798
generated,0.13157894736842105
generated,0.1553398058252427
generated,1.0
generated,0.1557377049180328
generated,0.14193548387096774
generated,0.4036697247706422
generated,0.11666666666666667
generated,0.0967741935483871
generated,0.11304347826086956
generated,0.1651376146788991
generated,0.13392857142857142
generated,0.15492957746478872
generated,0.14678899082568808
