,Feature,Category1,Category2,JS_Distance
36,MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.08000927802013182
37,MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.0997396485521932
38,MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.09030708256543421
39,MolWt,jtvae,digress,0.3276664012545866
40,MolWt,jtvae,defog_strict,0.34357517728012815
41,MolWt,jtvae,defog_relaxed,0.33884479128025996
42,MolWt,digress,defog_strict,0.06046019284438809
43,MolWt,digress,defog_relaxed,0.050846783126603415
44,MolWt,defog_strict,defog_relaxed,0.012799794447539025
45,TPSA,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.03950911342266223
46,TPSA,ori,jtvae,0.20585001875240377
47,TPSA,ori,digress,0.12892674574768645
48,TPSA,ori,defog_strict,0.12934736949143968
49,TPSA,ori,defog_relaxed,0.14429528770251984
50,TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.20276205113015677
51,TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10039177022581347
52,TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.1019774383281939
53,TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.11769963699569416
54,TPSA,jtvae,digress,0.21603089136132272
55,TPSA,jtvae,defog_strict,0.217058001114087
56,TPSA,jtvae,defog_relaxed,0.23714582369382364
57,TPSA,digress,defog_strict,0.020413039458611573
58,TPSA,digress,defog_relaxed,0.033397495325129194
59,TPSA,defog_strict,defog_relaxed,0.026098251688935092
60,NumHAcceptors,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.04794915746938861
61,NumHAcceptors,ori,jtvae,0.1481622187274542
62,NumHAcceptors,ori,digress,0.14964525712123905
63,NumHAcceptors,ori,defog_strict,0.1380805598338966
64,NumHAcceptors,ori,defog_relaxed,0.13405459440454
65,NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.17001316900227045
66,NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.11364652814599022
67,NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.10378148889155377
68,NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.098944913166647
69,NumHAcceptors,jtvae,digress,0.21360999818497783
70,NumHAcceptors,jtvae,defog_strict,0.20817202898511042
71,NumHAcceptors,jtvae,defog_relaxed,0.2036060791498107
72,NumHAcceptors,digress,defog_strict,0.022776156609307485
73,NumHAcceptors,digress,defog_relaxed,0.023110418469167802
74,NumHAcceptors,defog_strict,defog_relaxed,0.008623844481204762
75,NumHDonors,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.1862770700394815
76,NumHDonors,ori,jtvae,0.04378913705717727
77,NumHDonors,ori,digress,0.06953293894597139
78,NumHDonors,ori,defog_strict,0.05549594474821187
79,NumHDonors,ori,defog_relaxed,0.07031351723734817
80,NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2039052030637978
81,NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.18080309254115826
82,NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.18043183277223895
83,NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.19728612210401392
84,NumHDonors,jtvae,digress,0.10499975349201104
85,NumHDonors,jtvae,defog_strict,0.0917144551826193
86,NumHDonors,jtvae,defog_relaxed,0.10385034161064408
87,NumHDonors,digress,defog_strict,0.017608956498187656
88,NumHDonors,digress,defog_relaxed,0.021314626977359946
89,NumHDonors,defog_strict,defog_relaxed,0.023173582609498714
90,NumRotatableBonds,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.08413576511774341
91,NumRotatableBonds,ori,jtvae,0.24806428273948739
92,NumRotatableBonds,ori,digress,0.07502375263899987
93,NumRotatableBonds,ori,defog_strict,0.02639954041647916
94,NumRotatableBonds,ori,defog_relaxed,0.02594714011722764
95,NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2978498006906937
96,NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.045695429785991705
97,NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.10228305503099915
98,NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.10154972554108387
99,NumRotatableBonds,jtvae,digress,0.27474007639196224
100,NumRotatableBonds,jtvae,defog_strict,0.22720713657269467
101,NumRotatableBonds,jtvae,defog_relaxed,0.23101019217415522
102,NumRotatableBonds,digress,defog_strict,0.08807683126538549
103,NumRotatableBonds,digress,defog_relaxed,0.08546797386721856
104,NumRotatableBonds,defog_strict,defog_relaxed,0.00867463262102059
